Brand of Car,Model of car,Year of Car,Price sold (or unsold),Country  of auction,Currency,Year of Auction
Porsche,911 Carrera 2,2006, (unsold),UK,(unsold),2023
Porsche,911 Carrera 2 Cabriolet,2002, (unsold),UK,(unsold),2023
Porsche,911 C4S,2003,"£18,000",UK,"£18,000",2023
Porsche,911,2002,"£12,937",UK,"£12,937",2023
Porsche,911 Carrera 2 Cabriolet,2003,"£11,500",UK,"£11,500",2023
Porsche,911 Carrera 4 S,2002,"Estimate £15,000 - £20,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4,2001,"Estimate £8,000 - £11,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4,2001,"Estimate £15,000 - £18,000 (unsold)",UK,Estimate,2023
Porsche,911 C2S,2005,"Estimate NZ$125,000 - NZ$150,000 (unsold)",Zealand,Estimate,2023
Porsche,911 Targa 4S Heritage Design Edition,2021,"$511,000",USA,"$511,000",2023
Porsche,911 50th Anniversary Coupe,2014,"$224,000",USA,"$224,000",2023
Porsche,911 Targa 4 GTS,2016,"$257,600",USA,"$257,600",2023
Porsche,911 Carrera 2 Cabriolet,2002,"Estimate £9,000 - £11,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera S,2005,"£15,750",UK,"£15,750",2023
Porsche,911 Carrera,2001,"£7,875",UK,"£7,875",2023
Porsche,911 4S Cabriolet,2011,"€89,820",France,"€89,820",2023
Porsche,911 Carrera S,2016,"Sold (Estimate £49,000 - £59,000)",UK,Sold,2023
Porsche,911 Carrera '50 Years 911' Anniversary Edition,2014,"$115,000",Emirates,"$115,000",2023
Porsche,911 Carrera Endurance Racing Edition,2017,"Estimate €115,000 - €145,000 (unsold)",Italy,Estimate,2023
Porsche,911 Carrera 4,2003,"Estimate £10,000 - £12,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 2 Cabriolet,2003,"Sold (Estimate £10,000 - £12,000)",UK,Sold,2023
Porsche,911 Carrera,2016,"£54,000",UK,"£54,000",2023
Porsche,911 Carrera 2S,2005,"£31,500",UK,"£31,500",2023
Porsche,911 Carrera 2,2005,"Estimate £24,000 - £28,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera Cabriolet,2001,"Estimate CHF28,000 - CHF32,000 (unsold)",Switzerland,Estimate,2023
Porsche,911 Carrera 2,2001,"£11,825",UK,"£11,825",2023
Porsche,911 Carrera 4S,2003,"€93,150",Belgium,"€93,150",2023
Porsche,911 Carrera 4,2004, (unsold),UK,(unsold),2023
Porsche,911 Carrera 4S,2007,"Estimate £32,000 - £36,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 2 Cabriolet,2002,"Estimate £15,000 - £18,000 (unsold)",UK,Estimate,2023
Porsche,911 C4S Cabriolet,2004,"Estimate £25,000 - £30,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4S,2002,"Sold (Estimate £22,000 - £27,000)",UK,Sold,2023
Porsche,911 Carrera 2,2005,"Estimate £24,000 - £28,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4S,2008,"Estimate £25,000 - £28,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4,2003,"Estimate £10,000 - £12,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4,2007,"£26,705",UK,"£26,705",2023
Porsche,911 Carrera 4,2002,"£25,312",UK,"£25,312",2023
Porsche,911 40th Anniversary,2004,"£27,030",UK,"£27,030",2023
Porsche,911 Carrera S,2005,"£31,800",UK,"£31,800",2023
Porsche,911 Carrera S,2005,"£22,260",UK,"£22,260",2023
Porsche,911 Carrera S Cabriolet,2017,"$93,500",USA,"$93,500",2023
Porsche,911 Carrera 4S X51,2014, (unsold),UK,(unsold),2023
Porsche,911 Carrera 4,2002, (unsold),UK,(unsold),2023
Porsche,911 Carrera 2,2005,"Estimate £30,000 - £35,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4,2002,"£8,438",UK,"£8,438",2023
Porsche,911 Carrera 2S,2005,"Estimate £26,000 - £30,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 2,2002,"£3,494",UK,"£3,494",2023
Porsche,911 Carrera 2,2002,"£18,400",UK,"£18,400",2023
Porsche,911 Carrera 4,2001,"Estimate £13,000 - £16,000 (WITHDRAWN)",UK,Estimate,2023
Porsche,911 Carrera '50 Years 911',2014,"£78,200",UK,"£78,200",2023
Porsche,911 Carrera S 'Endurance Racing Edition',2017,"Estimate £95,000 - £110,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera S Endurance Racing Edition,2017,"€105,800",Italy,"€105,800",2023
Porsche,911 Carrera T,2018,"€96,600",Italy,"€96,600",2023
Porsche,911 Carrera 4S 'X51',2004,"€54,050",Italy,"€54,050",2023
Porsche,911 Carrera S Cabriolet,2005, (unsold),UK,(unsold),2023
Porsche,911 Carrera,2005,"£25,650",UK,"£25,650",2023
Porsche,911 C2 S,2005,"£29,025",UK,"£29,025",2023
Porsche,911 Carrera 2S Convertible,2008,"Estimate £32,000 - £36,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera S,2005,"Estimate £18,000 - £22,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4 Cabriolet,2001,"$53,200",USA,"$53,200",2023
Porsche,911 Carrera 2S,2005,"£41,400",UK,"£41,400",2023
Porsche,911 Carrera 2,2003,"£11,287",UK,"£11,287",2023
Porsche,911 Carrera S Cabriolet,2017,"$115,500",USA,"$115,500",2023
Porsche,911 Carrera 2,2002,"Estimate £8,000 - £9,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4S,2002, (unsold),UK,(unsold),2023
Porsche,911 Carrera 4 Convertible,2003,"£14,840",UK,"£14,840",2023
Porsche,911 Targa 4S Heritage Design Edition,2021,"Estimate €265,000 - €285,000 (unsold)",Italy,Estimate,2023
Porsche,911 Carrera,2000,"Estimate €32,500 (unsold)",Germany,Estimate,2023
Porsche,911 Carrera 4,2003,"Estimate £10,000 - £12,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 2,2003,"Estimate £15,000 - £20,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4S Convertible,2004, (unsold),UK,(unsold),2023
Porsche,911 40th Anniversary,2004, (unsold),UK,(unsold),2023
Porsche,911 Carrera S,2012,"Estimate £46,000 - £56,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4S,2004,"£15,848",UK,"£15,848",2023
Porsche,911 Carrera 4,2002,"Estimate £30,000 - £40,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4,2002,"£11,353",UK,"£11,353",2023
Porsche,911 Carrera S,2004, (unsold),UK,(unsold),2023
Porsche,911 Carrera 4,2007,"Estimate £34,000 - £35,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4 Cabriolet,2000,"£10,500",UK,"£10,500",2023
Porsche,911 Carrera 4S,2008,"£24,448",UK,"£24,448",2023
Porsche,911 Carrera 2,2003,"Estimate £15,000 - £20,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera S,2008,"Estimate £20,000 - £24,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 4,2003,"Estimate £10,000 - £12,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera 2S,2004,"£17,000",UK,"£17,000",2023
Porsche,911 Carrera,2020,Estimate - Not Given (unsold),USA,Estimate,2023
Porsche,911 Carrera S Cabriolet,2008,"$41,800",USA,"$41,800",2023
Porsche,911 Carrera 4,2001, (unsold),UK,(unsold),2023
Porsche,911 Carrera 4,2001,"Estimate £13,000 - £16,000 (unsold)",UK,Estimate,2023
Porsche,911 DelaVilla VRS Speedroad,2006,"€76,512",France,"€76,512",2023
Porsche,911 Carrera 2 S 3.8,2005,"£20,790",UK,"£20,790",2023
Porsche,911 Carrera S,2009, (unsold),UK,(unsold),2023
Porsche,911 Carrera 4S,2003,"Estimate £38,000 - £42,000 (unsold)",UK,Estimate,2023
Porsche,911 Carrera,2000,"£15,900",UK,"£15,900",2023
Porsche,911 Carrera 4S,2003,"Estimate £16,000 - £18,000 (unsold)",UK,Estimate,2023
